자치구,동,합계,지체,뇌병변,시각,청각,지적장애,자폐성,정신장애,지적+자폐+정신,위도,경도
광진구,중곡1동,674,303,58,65,96,39,9,43,91,37.5602037,127.0815433
광진구,중곡2동,872,400,87,81,139,47,12,44,103,37.5687026,127.0800152
광진구,중곡3동,754,351,57,81,93,53,8,38,99,37.5653701,127.0874036
광진구,중곡4동,1328,610,126,137,178,88,17,77,182,37.5535934,127.0791827
광진구,능동,382,174,42,46,48,27,4,17,48,37.5424289,127.0857094
광진구,구의1동,814,357,87,102,103,51,8,34,93,37.5473444,127.0900148
광진구,구의2동,1091,496,107,121,147,80,15,37,132,37.5389296,127.0976813
광진구,구의3동,802,350,91,78,114,65,21,17,103,37.5478086,127.1052825
광진구,광장동,725,304,86,86,92,55,20,20,95,37.5344848,127.0822379
광진구,자양1동,947,427,83,112,128,57,10,30,97,37.5287076,127.0846269
광진구,자양2동,945,425,104,90,136,72,15,41,128,37.5337907,127.0729889
광진구,자양3동,809,347,87,81,134,45,22,18,85,37.5401508,127.0650175
광진구,자양4동,874,435,77,84,114,48,3,41,92,37.5907275,127.055128
동대문구,회기동,330,133,45,30,50,20,7,13,40,37.5928664,127.0656829
동대문구,휘경1동,526,256,53,58,64,25,7,18,50,37.5911446,127.0677097
동대문구,휘경2동,891,414,105,92,119,54,11,26,91,37.588908,127.0445965
동대문구,청량리동,1268,601,118,131,196,66,9,59,134,37.5762288,127.0302138
동대문구,용신동,1466,688,142,136,241,70,9,66,145,37.5833567,127.0367969
동대문구,제기동,1391,634,146,153,229,73,8,49,130,37.5763402,127.0562953
동대문구,전농1동,1526,699,151,153,252,93,13,58,164,37.578451,127.0576841
동대문구,전농2동,926,430,97,85,145,57,7,34,98,37.5720638,127.0594611
동대문구,답십리2동,1444,659,142,157,220,76,17,59,152,37.5677585,127.0663775
동대문구,장안1동,1716,814,176,156,229,107,20,90,217,37.5783962,127.0705438
동대문구,장안2동,1332,614,149,121,182,86,16,52,154,37.594477,127.0565167
동대문구,이문1동,809,367,89,75,113,52,6,32,90,37.6032541,127.0650987
동대문구,이문2동,995,484,99,95,155,56,13,34,103,37.5716467,127.0515179
동대문구,답십리1동,1081,471,119,109,171,62,16,48,126,37.5897,127.0790427
중랑구,면목2동,1266,638,109,130,156,83,12,44,139,37.574675,127.0855975
중랑구,면목4동,1262,574,117,112,169,84,17,87,188,37.5857565,127.0795427
중랑구,면목5동,623,277,60,63,87,37,8,30,75,37.5788965,127.0867362
중랑구,면목7동,1042,505,96,114,142,61,12,39,112,37.5998379,127.0871526
중랑구,상봉1동,1400,622,148,140,162,114,18,73,205,37.5923388,127.0832922
중랑구,상봉2동,835,384,90,110,108,38,9,26,73,37.6011436,127.0805692
중랑구,중화1동,889,417,83,84,132,63,12,27,102,37.5949493,127.0748759
중랑구,중화2동,1522,734,151,154,183,90,18,66,174,37.6123362,127.0784581
중랑구,묵1동,1486,695,149,158,214,96,18,52,166,37.6113617,127.0787546
중랑구,묵2동,915,425,98,89,118,62,14,34,110,37.5927,127.0981797
중랑구,망우3동,965,464,96,102,117,64,10,40,114,37.6057824,127.0994562
중랑구,신내1동,1923,901,251,174,238,129,20,53,202,37.6062543,127.0941517
중랑구,신내2동,1458,667,165,122,159,109,21,91,221,37.5873125,127.0874309
중랑구,면목본동,1750,890,181,178,182,106,15,73,194,37.582979,127.088014
중랑구,면목3.8동,1319,626,128,151,162,66,14,52,132,37.6012551,127.1065397
중랑구,망우본동,1739,823,197,171,212,103,19,70,192,37.6033644,127.0264084
성북구,돈암1동,622,282,61,74,107,25,10,17,52,37.5978368,127.0107711
성북구,돈암2동,689,286,77,74,112,33,16,22,71,37.5858384,127.0213534
성북구,안암동,579,237,71,61,65,69,11,19,99,37.5803121,127.0227704
성북구,보문동,602,276,64,70,78,27,6,23,56,37.6013925,127.0166034
성북구,정릉1동,680,311,60,82,109,38,11,22,71,37.604475,127.0109379
성북구,정릉2동,975,420,107,103,140,65,13,39,117,37.6087243,127.0041325
성북구,정릉3동,734,340,79,74,105,47,9,27,83,37.6133078,127.006965
성북구,정릉4동,1044,485,114,112,139,60,10,41,111,37.6041422,127.0221588
성북구,길음1동,1036,441,105,117,165,72,19,29,120,37.606614,127.0272973
성북구,길음2동,605,286,63,53,94,34,7,16,57,37.610225,127.0374875
성북구,월곡1동,1178,520,128,123,170,81,15,52,148,37.6025867,127.0394902
성북구,월곡2동,903,459,97,89,116,43,4,32,79,37.6139744,127.0436564
성북구,장위1동,1089,470,102,122,153,88,7,55,150,37.6122528,127.0545994
성북구,장위2동,719,322,69,66,105,57,6,38,101,37.6165023,127.0565711
성북구,장위3동,674,319,70,83,81,42,7,18,67,37.5909485,127.003439
성북구,성북동,575,225,60,74,96,44,14,14,72,37.5939763,127.0105212
성북구,삼선동,860,378,101,92,118,48,14,44,106,37.5935604,127.0157427
성북구,동선동,560,231,49,97,82,30,6,24,60,37.6001709,127.031602
성북구,종암동,1595,725,165,153,264,87,26,53,166,37.6084827,127.0609186
성북구,석관동,1771,838,159,216,246,97,9,62,168,37.6378322,127.0287962
강북구,번1동,995,468,93,113,161,52,3,39,94,37.6321391,127.0386284
강북구,번2동,1354,572,137,137,202,106,13,72,191,37.625834,127.0465718
강북구,번3동,2029,888,223,188,271,151,8,141,300,37.6387326,127.0089103
강북구,수유1동,1296,509,143,188,187,128,10,44,182,37.6446372,127.0198799
강북구,수유2동,1101,465,112,136,164,77,19,44,140,37.63886,127.0231577
강북구,수유3동,1110,506,101,124,161,71,16,53,140,37.620695,127.0127143
강북구,삼양동,1376,612,121,172,212,107,15,43,165,37.6268335,127.0269077
강북구,미아동,1175,513,113,123,222,60,8,44,112,37.615974,127.0336574
강북구,송중동,1433,675,118,163,232,89,12,52,153,37.6180845,127.0237133
강북구,송천동,1541,677,148,169,266,96,10,61,167,37.6166126,127.0174369
강북구,삼각산동,1246,572,122,135,181,77,23,44,144,37.6479697,127.0118806
강북구,우이동,994,458,120,96,126,69,8,39,116,37.6351934,127.0191862
강북구,인수동,1791,775,194,196,279,142,18,64,224,37.6479979,127.0260462
도봉구,쌍문1동,1123,479,112,134,154,83,13,46,142,37.6579969,127.0388217
도봉구,쌍문2동,949,403,103,111,140,70,16,37,123,37.6488868,127.027851
