자치구,동,합계,지체,뇌병변,시각,청각,지적장애,자폐성,정신장애,지적+자폐+정신,위도,경도
금천구,시흥5동,1202,551,109,132,184,84,10,50,144,37.5175402,126.9345308
영등포구,여의동,779,307,86,100,111,36,32,25,93,37.5249277,126.8974232
영등포구,당산1동,774,361,70,92,130,39,11,20,70,37.5347036,126.9021445
영등포구,당산2동,964,430,97,121,156,45,18,29,92,37.5236497,126.8882292
영등포구,양평1동,660,323,58,75,93,38,11,17,66,37.5377591,126.895923
영등포구,양평2동,604,298,58,54,82,36,10,15,61,37.5109018,126.9213373
영등포구,신길1동,828,378,75,80,148,36,8,33,77,37.507263,126.9077007
영등포구,신길3동,845,355,94,98,130,53,10,38,101,37.508319,126.9113663
영등포구,신길4동,609,276,70,61,89,41,5,15,61,37.5015967,126.9052561
영등포구,신길5동,560,246,67,52,97,36,6,17,59,37.499347,126.9098667
영등포구,신길6동,731,324,78,72,111,47,15,25,87,37.5063464,126.9213654
영등포구,신길7동,573,236,60,78,86,44,16,15,75,37.4953754,126.9058392
영등포구,대림1동,811,355,80,86,144,44,4,25,73,37.4926816,126.8982291
영등포구,대림2동,734,341,59,58,136,47,9,21,77,37.498236,126.8980349
영등포구,대림3동,1146,532,100,106,199,73,10,29,112,37.5132559,126.9057791
영등포구,영등포본동,1057,443,107,123,180,58,13,30,101,37.5132559,126.9057791
영등포구,영등포동,1053,455,106,111,165,71,8,55,134,37.5094016,126.8960068
영등포구,도림동,898,417,72,100,138,60,9,30,99,37.5169837,126.8993953
영등포구,문래동,912,435,106,84,138,45,14,18,77,37.5242657,126.8964831
영등포구,기타,1,1,0,0,0,0,0,0,0,37.5085134,126.9372528
동작구,노량진2동,661,279,70,81,108,48,4,30,82,37.4989895,126.9377193
동작구,상도1동,1493,629,144,195,241,89,27,44,160,37.5054029,126.9422524
동작구,상도2동,976,406,110,99,164,62,20,38,120,37.4991534,126.9315036
동작구,상도3동,1134,515,133,104,168,76,13,41,130,37.5004864,126.937725
동작구,상도4동,1293,551,113,130,272,77,23,50,150,37.476379,126.9735832
동작구,사당1동,806,340,76,89,125,50,13,35,98,37.4866557,126.971972
동작구,사당3동,766,329,78,71,130,47,19,24,90,37.4809894,126.9715562
동작구,사당4동,576,261,62,69,86,30,8,15,53,37.4857107,126.9667226
동작구,사당5동,528,233,59,48,81,22,15,26,63,37.5080962,126.9262539
동작구,대방동,1578,681,154,164,244,123,18,63,204,37.4889593,126.909978
동작구,신대방1동,827,355,98,77,140,61,17,22,100,37.4989034,126.9258932
동작구,신대방2동,707,311,82,65,117,41,14,17,72,37.5094857,126.9605285
동작구,흑석동,1119,513,114,111,169,57,12,45,114,37.512235,126.9419742
동작구,노량진1동,1229,515,127,130,210,73,11,52,136,37.4886556,126.9792213
동작구,사당2동,914,385,90,110,148,45,17,24,86,37.4880718,126.9326988
관악구,보라매동,1135,480,129,123,162,91,18,44,153,37.4917938,126.9586402
관악구,청림동,664,288,75,74,104,34,8,27,69,37.4805452,126.9571127
관악구,행운동,1070,468,107,117,156,73,9,59,141,37.4762397,126.9583907
관악구,낙성대동,472,212,54,46,74,27,10,13,50,37.4841276,126.9497523
관악구,중앙동,579,272,64,61,98,35,6,11,52,37.475074,126.965307
관악구,인헌동,917,408,83,96,155,55,9,45,109,37.4675553,126.9794198
관악구,남현동,560,250,52,60,77,36,5,28,69,37.4797388,126.9313932
관악구,서원동,804,337,74,109,127,52,8,23,83,37.4815445,126.9273105
관악구,신원동,827,347,76,87,135,56,8,46,110,37.4749615,126.934949
관악구,서림동,872,404,67,93,121,59,15,53,127,37.4852939,126.9180613
관악구,신사동,911,408,80,97,142,73,10,41,124,37.4626176,126.9383251
관악구,신림동,554,232,64,87,75,26,6,18,50,37.4616858,126.9188389
관악구,난향동,708,316,73,75,100,46,13,18,77,37.4810442,126.9090343
관악구,조원동,704,307,66,86,112,39,5,22,66,37.470546,126.9368929
관악구,대학동,732,331,62,80,87,45,10,52,107,37.4869051,126.94142
관악구,은천동,1687,740,181,198,239,118,24,67,209,37.4894329,126.9481693
관악구,성현동,1429,648,136,167,190,99,22,63,184,37.4791001,126.9416142
관악구,청룡동,1068,480,94,115,169,70,14,46,130,37.4693789,126.9202006
관악구,난곡동,1600,650,157,185,240,127,14,71,212,37.470074,126.9329493
관악구,삼성동,1542,682,148,132,267,106,20,76,202,37.476128,126.9156168
관악구,미성동,1430,649,147,146,225,81,19,40,140,37.4887673,127.0190234
서초구,서초1동,488,199,66,43,71,26,15,23,64,37.492017,127.0247167
서초구,서초2동,369,146,47,40,57,22,13,10,45,37.4836008,127.0124412
서초구,서초3동,731,281,79,88,104,51,27,21,99,37.5026266,127.0221057
서초구,서초4동,475,186,63,51,58,25,29,3,57,37.514847,127.0143281
서초구,잠원동,540,228,65,53,85,30,22,14,66,37.5031833,127.0079167
서초구,반포본동,183,74,29,17,23,12,11,1,24,37.506043,127.0126625
서초구,반포1동,562,247,63,68,74,28,12,17,57,37.5044869,126.9944423
서초구,반포2동,245,104,30,26,41,10,8,6,24,37.5119312,127.0055521
서초구,반포3동,352,139,44,31,56,19,15,10,44,37.4975719,127.000386
서초구,반포4동,347,131,36,39,55,25,8,10,43,37.4941271,126.9887762
