시설명,시설코드,시설종류명(시설유형),시설종류상세명,시설주소,위도,경도
중랑구수어통역센터,C1561,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 중랑구 면목로 299용마새마을금고 67층 (면목동),37.470327,127.1193059
성모자애 엠마우스공동생활가정 1,C1564,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 헌릉로757길 35 (율현동),37.470327,127.1193059
성모자애엠마우스공동생활가정3호,C1566,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 헌릉로757길 35 (율현동),37.470327,127.1193059
성모자애공동생활가정,C1567,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 헌릉로757길 35 (율현동),37.470327,127.1193059
성모자애주간보호시설,C1568,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강남구 헌릉로757길 35.,37.470327,127.1193059
성모자애제2주간보호센터,C1569,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강남구 헌릉로757길 35.,37.470327,127.1193059
성모자애보호작업장,C1570,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강남구 헌릉로757길 35,37.4850282,126.9694139
사랑손주간보호센터,C1572,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 동작구 사당로 188-7 (사당동),37.5372157,126.8821474
동작구립장애인보호작업장,C1583,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 동작구 등용로12길 57동작구립장애인보호작업장,37.5704464,127.033811
성동주간보호센터,C1588,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 성동구 청계천로 506성동장애인종합복지관 1층 (마장동),37.5529222,127.0185414
성모보호작업장,C1589,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 성동구 금호산9가길 57-10,37.5704464,127.033811
성동보호작업장,C1590,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 성동구 청계천로 506-0성동장애인종합복지관 1층,37.5529157,127.0187327
성동장애인복지관공동생활가정(믿음의집),C1591,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 성동구 금호산9가길 57-102층,37.5529157,127.0187327
성동장애인복지관공동생활가정(소망의집),C1592,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 성동구 금호산9가길 57-103층,37.5529157,127.0187327
성동장애인복지관공동생활가정(사랑의집),C1593,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 성동구 금호산9가길 57-104층 (금호동2가),37.552251,127.0211812
성동장애인복지관 공동생활가정(기쁨의 집),C1594,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 성동구 무수막14길 10202호 (금호동2가 대우빌라),37.5700494,127.0809169
광진장애인보호작업장,C1607,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 광진구 동일로80길 20,37.5842814,126.9070315
은평구수어통역센터,C1616,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 은평구 증산서길 821층,37.5509,127.0974583
정립장애인보호작업장,C1620,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 광진구 워커힐로 93정립회관 체육관 1층,37.549987,127.0972229
정립전자,C1621,(장애인) 장애인근로사업장,장애인직업재활시설,서울특별시 광진구 워커힐로 93정립전자,37.4961857,126.9268403
보라매그룹홈,C1645,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 동작구 보라매로13길 21301호,37.68537,127.0440835
자운그룹홈,C1653,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 도봉구 도봉로185길 14201호(도봉동),37.4745206,126.9842397
까리따스장애인주간보호센터,C1662,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 서초구 남부순환로 2124 (방배동),37.4856837,126.9873598
사랑의일터,C1675,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 서초구 서초대로 351로뎀II빌딩 6층,37.5406968,126.8419911
교남공동생활가정4호,C1681,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 까치산로8길 44301호,37.5413329,126.842538
교남공동생활가정1호,C1684,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 까치산로16길 21301호,37.4920242,126.8206209
구로구립장애인보호작업장,C1685,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 구로구 경인로 21 (온수동),37.644436,127.0733938
동천재활체육시설,C1686,(장애인) 장애인체육시설,장애인지역사회재활시설,서울특별시 노원구 노원로18길 41 (하계동),37.5417749,126.8481165
교남공동생활가정6호,C1687,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 초록마을로8길 18-62층 1호,37.5436685,126.8428277
교남공동생활가정5호,C1688,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 화곡로31길 5-6201호,37.4984991,127.0212456
서초구수어통역센터,C1689,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 서초구 서운로23길 17명달공원 경로당내,37.4932342,126.9197115
서울남부보호작업장,C1692,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 동작구 여의대방로20길 33 (신대방동),37.5555218,127.1484452
서울장애인종합복지관,C1693,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 강동구 고덕로 201 (고덕동),37.642332,127.0566646
오뚜기뇌성마비인주간보호센터,C1695,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 노원구 덕릉로70가길 96 (상계67동771),37.5015746,127.138244
참사랑주간보호센터,C1696,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 송파구 마천로 893층,37.6330201,127.0363018
번동보호작업장,C1698,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강북구 한천로 115길 20501동(번동 주공),37.5574997,126.9837479
여성시각장애인주간보호센터,C1705,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 중구 소공로4길 15 (회현동2가),37.5491524,126.9404737
맑음터단기보호시설,C1709,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 마포구 백범로 73-11,37.5042046,127.1104039
연화직업재활원,C1712,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 송파구 가락로 865층,37.4998084,127.0239881
사랑의복지관 재가복지봉사센터,C1714,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 서초구 강남대로65길 19서초동,37.6643865,127.0691425
하하센터,C1721,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 노원구 한글비석로24가길 72-201층,37.4806312,127.0230233
서초구립주간이용센터,C1722,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 서초구 남부순환로340길 153층 (서초동),37.5829851,126.9666735
라파엘 주간보호시설,C1727,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 종로구 필운대로9나길 15-4 (옥인동),37.5607845,126.9603068
서대문주간보호시설,C1729,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 서대문구 북아현로4차길 4,37.57681,126.9333143
서은단기보호시설,C1730,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 서대문구 가좌로 19장목빌딩 402호 (연희동),37.5953909,126.9115881
브니엘공동생활가정,C1734,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 은평구 증산로19길 28-10301호 (신사동),37.5956606,126.9104394
벧엘공동생활가정,C1735,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 은평구 가좌로 312-11201호 (신사동),37.6564936,127.0760342
중계종합사회복지관장애인주간보호센터,C1742,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 노원구 덕릉로 662주공3단지 내,37.5067812,126.9052177
새생명장애인주간보호소,C1743,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 영등포구 도림로 310-1301 (신길동),37.5836166,127.0051441
비둘기주간보호시설,C1744,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 종로구 동숭4길 28비둘기재활센터 2층 (동숭동),37.5836166,127.0051441
비둘기직업적응훈련센터,C1745,(장애인) 장애인직업적응훈련시설,장애인직업재활시설,서울특별시 종로구 동숭4길 28 (동숭동),37.5587393,126.9867567
중구수어통역센터,C1746,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 중구 퇴계로20길 41-11남산쉼터 2층,37.55897742,126.9867352
미술작은예수의집,C1747,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 송파구 가락로11길 12-6101호 (석촌동 화이트빌),37.5175666,126.9108655
영등포구수어통역센터,C1750,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 영등포구 경인로112길 132층 (영등포동1가),37.6587743,127.0685054
노원구수어통역센터,C1751,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 노원구 상계로23길 17윈터행복발전소 2층 (상계동),37.4944915,127.019544
(사)대한안마사협회부설안마수련원,C1753,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 서초구 서초중앙로22길 105  ,37.6370282,127.0170402
한마음주간보호시설,C1757,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강북구 삼양로 4323층 (수유동),37.6442106,127.0149472
한마음단기거주시설,C1758,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 강북구 삼양로119길 12201호 301호,37.5409685,126.9595512
햇빛자리,C1761,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 용산구 백범로47길 24 101호(효창동),37.5637278,126.9088528
마포장애인주간보호센터,C1762,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 마포구 성산로4길 35마포장애인종합복지관 (성산동),37.5569797,126.8987205
마포점자도서실,C1764,(장애인) (기타)장애인복지시설,장애인기타,서울특별시 마포구 망원2동 451-1,37.6502254,127.0374144
피어라희망센터,C1771,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 도봉구 도봉로120길 16,38.1886428,127.3664255
문혜장애인보호작업장,C1776,(장애인) 장애인보호작업장,장애인직업재활시설,강원도 철원군 텃골1길 13(문혜리),37.4998016,127.1467621
무지개동산주간보호,C1784,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 송파구 성내천로22길 162층,37.4906968,127.1312532
송파구수어통역센터,C1786,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 송파구 문정로 135층 (문정동)(문정동),37.5704464,127.033811
성동구수어통역센터,C1790,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 성동구 청계천로 516성동장애인생활회관 3층 (마장동),37.4844911,127.1289611
마라주간보호센터,C1793,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 송파구 송이로34길 43-13층(마라빌딩),37.5462769,127.163933
주몽재활의원,C1798,(장애인) 장애인의료재활시설,장애인의료재활시설,서울특별시 강동구 상암로 369 상일동 179,37.6945202,127.0421215
장애인주간보호시설인강원,C1801,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 도봉구 평화로15번길 9-25.,37.6945202,127.0421215
보호작업장 인강원,C1802,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 도봉구 평화로15번길 9-25(도봉동),37.6666074,127.0367175
베데스다의집아미네,C1820,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 도봉구 시루봉로13가길 302층(방학동),37.6636782,127.036776
