시설명,시설코드,시설종류명(시설유형),시설종류상세명,자치구,위도,경도
데일리스보호작업시설,C0493,(장애인) 장애인보호작업장,장애인직업재활시설,동대문구,37.6331368,127.035906
번동코이노니아장애인보호작업시설,C0495,(장애인) 장애인보호작업장,장애인직업재활시설,강북구,37.6395604,127.0145544
소망의집,C0496,(장애인) 장애인공동생활가정,장애인거주시설,강북구,37.4991639,126.9466497
삼성떡프린스,C0498,(장애인) 장애인보호작업장,장애인직업재활시설,동작구,37.6495893,127.0804566
더홈,C0507,(장애인) 장애유형별거주시설,장애인거주시설,노원구,37.6804647,127.0568157
쉼터요양원,C0512,(장애인) 중증장애인거주시설,장애인거주시설,노원구,37.6080397,126.9083279
서울특별시립평화로운집,C0518,(장애인) 중증장애인거주시설,장애인거주시설,은평구,37.9983432,126.9892339
교남어유지동산,C0523,(장애인) 장애인근로사업장,장애인직업재활시설,파주시,37.5511064,127.1646653
주몽재활원,C0527,(장애인) 장애유형별거주시설,장애인거주시설,강동구,37.5263065,127.0306186
소망제이앤피,C0538,(장애인) 장애인보호작업장,장애인직업재활시설,강남구,37.6058574,126.9071791
은평기쁨의집,C0541,(장애인) 장애유형별거주시설,장애인거주시설,은평구,37.6495893,127.0804566
보담터,C0587,(장애인) 장애인보호작업장,장애인직업재활시설,노원구,37.5989043,126.9099572
민들레울공동생활가정,C0597,(장애인) 장애인공동생활가정,장애인거주시설,은평구,37.5706509,126.913781
시립서대문농아인복지관,C0613,(장애인) 장애인복지관,장애인지역사회재활시설,서대문구,37.5900378,127.0297702
승가원장애아동시설,C0622,(장애인) 중증장애인거주시설,장애인거주시설,성북구,37.5576791,127.158649
라온클린패밀리,C0649,(장애인) 장애인보호작업장,장애인직업재활시설,강동구,37.5516714,126.972922
용산구립장애인주간보호센터,C0654,(장애인) 장애인주간보호시설,장애인지역사회재활시설,용산구,37.7685919,127.2906283
송천한마음의집,C0656,(장애인) 중증장애인거주시설,장애인거주시설,남양주시,37.474762,126.9221968
두레네집공동생활가정,C0661,(장애인) 장애인공동생활가정,장애인거주시설,관악구,37.6173084,127.0836351
중랑구립직업재활센터,C0685,(장애인) 장애인보호작업장,장애인직업재활시설,중랑구,37.4938802,127.1551765
