자치구,동,계,위도,경도
금천구,독산1동,860,37.4659619,126.8997027
금천구,독산2동,338,37.4765728,126.9080626
금천구,독산3동,411,37.4676288,126.9020634
금천구,독산4동,279,37.4535195,126.9031187
금천구,시흥1동,567,37.4501312,126.9165345
금천구,시흥2동,402,37.4402712,126.9057858
금천구,시흥3동,203,37.4589629,126.9060902
금천구,시흥4동,355,37.4492857,126.9104662
금천구,시흥5동,402,37.5259828,126.9000894
영등포구,여의동,295,37.5249277,126.8974232
영등포구,당산1동,256,37.5347036,126.9021445
영등포구,당산2동,314,37.5236497,126.8882292
영등포구,양평1동,215,37.5377591,126.895923
영등포구,양평2동,193,37.5109018,126.9213373
영등포구,신길1동,266,37.507263,126.9077007
영등포구,신길3동,291,37.508319,126.9113663
영등포구,신길4동,209,37.5015967,126.9052561
영등포구,신길5동,179,37.499347,126.9098667
영등포구,신길6동,265,37.5063464,126.9213654
영등포구,신길7동,199,37.4953754,126.9058392
영등포구,대림1동,282,37.4926816,126.8982291
영등포구,대림2동,230,37.498236,126.8980349
영등포구,대림3동,369,37.5132559,126.9057791
영등포구,영등포본동,355,37.5132559,126.9057791
영등포구,영등포동,383,37.5094016,126.8960068
영등포구,도림동,348,37.5169837,126.8993953
영등포구,문래동,294,37.5242657,126.8964831
영등포구,기타,1,37.476379,126.9735832
동작구,노량진2동,220,37.4989895,126.9377193
동작구,상도1동,554,37.5054029,126.9422524
동작구,상도2동,372,37.4991534,126.9315036
동작구,상도3동,386,37.5004864,126.937725
동작구,상도4동,485,37.476379,126.9735832
동작구,사당1동,283,37.4866557,126.971972
동작구,사당3동,268,37.4809894,126.9715562
동작구,사당4동,195,37.4857107,126.9667226
동작구,사당5동,189,37.5080962,126.9262539
동작구,대방동,655,37.4889593,126.909978
동작구,신대방1동,300,37.4989034,126.9258932
동작구,신대방2동,263,37.5094857,126.9605285
동작구,흑석동,375,37.512235,126.9419742
동작구,노량진1동,443,37.4886556,126.9792213
동작구,사당2동,297,37.4782118,126.9515024
관악구,보라매동,450,37.4917938,126.9586402
관악구,청림동,249,37.4805452,126.9571127
관악구,행운동,415,37.4762397,126.9583907
관악구,낙성대동,203,37.4841276,126.9497523
관악구,중앙동,187,37.475074,126.965307
관악구,인헌동,332,37.4675553,126.9794198
관악구,남현동,201,37.4797388,126.9313932
관악구,서원동,289,37.4815445,126.9273105
관악구,신원동,300,37.4749615,126.934949
관악구,서림동,314,37.4852939,126.9180613
관악구,신사동,323,37.4626176,126.9383251
관악구,신림동,200,37.4616858,126.9188389
관악구,난향동,255,37.4810442,126.9090343
관악구,조원동,250,37.470546,126.9368929
관악구,대학동,266,37.4869051,126.94142
관악구,은천동,642,37.4894329,126.9481693
관악구,성현동,552,37.4791001,126.9416142
관악구,청룡동,361,37.4693789,126.9202006
관악구,난곡동,596,37.470074,126.9329493
관악구,삼성동,580,37.476128,126.9156168
관악구,미성동,493,37.483688,127.0329245
서초구,서초1동,187,37.492017,127.0247167
서초구,서초2동,145,37.4836008,127.0124412
서초구,서초3동,281,37.5026266,127.0221057
서초구,서초4동,178,37.514847,127.0143281
서초구,잠원동,215,37.5031833,127.0079167
서초구,반포본동,74,37.506043,127.0126625
서초구,반포1동,177,37.5044869,126.9944423
서초구,반포2동,83,37.5119312,127.0055521
서초구,반포3동,136,37.4975719,127.000386
서초구,반포4동,128,37.4941271,126.9887762
서초구,방배본동,191,37.4832955,126.9944149
서초구,방배1동,163,37.4798788,126.9854989
서초구,방배2동,230,37.480185,126.9990806
서초구,방배3동,199,37.4895447,126.9912761
서초구,방배4동,219,37.4844071,127.0361048
서초구,양재1동,929,37.4707419,127.0413547
서초구,양재2동,267,37.4617711,127.05116
서초구,내곡동,391,37.5172363,127.0473248
강남구,신사동,157,37.5115147,127.0283828
강남구,논현1동,198,37.5135304,127.0315341
강남구,논현2동,187,37.5117931,127.0553802
강남구,삼성1동,118,37.511098,127.0459091
강남구,삼성2동,212,37.4932114,127.0567416
강남구,대치1동,112,37.4994914,127.0610527
강남구,대치4동,157,37.4999072,127.0373932
강남구,역삼1동,269,37.4959889,127.0467425
강남구,역삼2동,220,37.4898434,127.0438136
강남구,도곡1동,150,37.4824625,127.0430492
강남구,도곡2동,175,37.4789643,127.0609282
강남구,개포1동,74,37.4788251,127.0515205
강남구,개포4동,231,37.4810133,127.0801089
강남구,일원본동,431,37.4917961,127.0879606
강남구,일원1동,576,37.4921008,127.073629
강남구,일원2동,651,37.4889628,127.105154
강남구,수서동,1291,37.4692712,127.1073203
강남구,세곡동,917,37.531684,127.0302926
강남구,압구정동,176,37.5231998,127.0486655
강남구,청담동,176,37.5021274,127.0641296
강남구,대치2동,227,37.4896011,127.0687685
강남구,개포2동,157,37.5280898,127.0355331
강남구,기타,1,37.5144321,127.0888491
송파구,풍납1동,240,37.5286251,127.1164568
송파구,풍납2동,295,37.4970185,127.143372
송파구,거여1동,239,37.493491,127.1468718
송파구,거여2동,477,37.4959357,127.1498994
송파구,마천1동,445,37.4968796,127.1485105
송파구,마천2동,431,37.5109334,127.1238455
송파구,방이1동,158,37.5145158,127.1144024
송파구,방이2동,273,37.5154331,127.1343724
송파구,오륜동,122,37.5029895,127.1278734
송파구,오금동,562,37.5058778,127.1096251
송파구,송파1동,263,37.5022674,127.1166805
송파구,송파2동,180,37.503517,127.1035697
송파구,석촌동,369,37.5027949,127.0925158
송파구,삼전동,340,37.4954903,127.1217072
송파구,가락본동,268,37.4964619,127.1055147
송파구,가락1동,209,37.498712,127.1266796
송파구,가락2동,345,37.490047,127.1241801
송파구,문정1동,255,37.4898248,127.1108474
송파구,문정2동,180,37.5061273,127.0842945
송파구,잠실본동,287,37.5200285,127.1084342
송파구,잠실4동,176,37.5179042,127.1007366
송파구,잠실6동,130,37.5087379,127.0770452
송파구,잠실7동,74,37.5156676,127.0856413
송파구,잠실2동,195,37.5071834,127.0941266
송파구,잠실3동,248,37.4773867,127.1285282
송파구,장지동,625,37.4811919,127.1441343
송파구,위례동,341,37.5364293,127.1231762
강동구,강일동,713,37.5511064,127.1646653
강동구,상일동,372,37.5497341,127.1459813
강동구,명일1동,336,37.5463186,127.1512869
강동구,명일2동,182,37.558983,127.1489257
강동구,고덕1동,310,37.5604551,127.1643122
강동구,고덕2동,372,37.5517335,127.1272331
강동구,암사2동,196,37.5552053,127.1382039
강동구,암사3동,216,37.5450685,127.1367043
강동구,천호1동,537,37.539763,127.1297892
강동구,천호3동,482,37.530375,127.1223451
강동구,성내1동,230,37.5323199,127.1294284
강동구,성내2동,359,37.5259868,127.1329002
강동구,성내3동,322,37.5234321,127.1366779
강동구,둔촌1동,1,37.53332,127.1419272
강동구,둔촌2동,354,37.5514287,127.1325655
강동구,암사1동,640,37.543462,127.1231788
강동구,천호2동,625,37.5392074,127.1461206
강동구,길동,718,37.53889368,127.1435743
